Spring 2019	Term	Beginning Russian II	Foreign Language	Russian Language				
Spring 2019	Term	Third Year Modern Russian II	Foreign Language	Russian Language				
Spring 2019	Term	Women In Russian Literature	Russian Literature	Cross-Cultural English Class	Diverse Perspectives			
Spring 2019	Term	Human Origins and Evolutions	Diverse Perspectives	Intro Anthro	Social Sciences LAC			
Spring 2019	Term	Historical Archaeology of Latin America	Intro Archeaology	Diverse Perspectives				
Spring 2019	Term	Approaches to Visual Anthropology	Upper Level or Thematic Anthro Course 	Intro Anthro				
Spring 2019	Term	Anthropology and Development	Diverse Perspectives	Upper Level or Thematic Anthro Course	Intro Anthro			
Spring 2019	Term	Conservation and Indigenous Knowledge	Diverse Perspectives	Upper Level or Thematic Anthro Course	Intro Anthro			
Spring 2019	Term	Colonial Encounters	Diverse Perspectives	Social Sciences LAC	Upper Level or Thematic Anthro Course	Intro Anthro		
Spring 2019	Term	Landscapes: Past and Present	Diverse Perspectives	Social Sciences LAC	Upper Level or Thematic Anthro Course	Intro Anthro		
Spring 2019	Term	Anthropology and Literature	Diverse Perspectives	Upper Level or Thematic Anthro Course		Intro Anthro		
Spring 2019	Term	Approaches to Visual Anthyopology	Upper Level or Thematic Anthro Course 					
Spring 2019	Term	Calculus II	Calculus					
Spring 2019	Term	Abstract Algebra II	Abstract Algebra					
Spring 2019	Term	Theory of Computation III	Mathematics					
Spring 2019	Term	Linear Programming	Mathematics					
Spring 2019	Term	Distribution Theory and Harmonic Analysis	Mathematics					
Spring 2019	Term	Theory of Computation IV	Mathematics					
Spring 2019	Term	Mathematics Seminar	Math Seminar					
Spring 2019	Term	Mechanics of Visual Construction: Introduction to materials and Processes of 2D and 3D Artistic Practice	Humanities LAC					
Spring 2019	Term	Sculpture I	Humanities LAC	Foundations Art Course				
Spring 2019	Term	Painting II	Intermediate Studio Art Course	Foundations Art Course	Studio Art			
Spring 2019	Term	Scopes and Tropes: Handmade Animation	Intermediate Studio Art Course	Foundations Art Course	Studio Art			
Spring 2019	Term	Museum Studies: Artist as Curator	Art History Course					
Spring 2019	Term	Pleasure and Power: Art in the 18th Century	Art History Course	General Art History	Pre-Modern Art	Renaissance/Baroque Art	Pre-Modern Art	
Spring 2019	Term	Masterpieces: Medieval/Renaissance/Baroque	Art History Course	Renaissance/Baroque Art	Pre-Modern Art	Ancient/Medieval Art	General Art History	Pre-Modern Art
Spring 2019	Term	The Gothic Cathedral	Art History Course	Ancient Medieval Art	Pre-Modern Art			
Spring 2019	Term	Representing Difference: Race, Ethnicity, and the Visual Arts	Art History Course	Contemporary Art	Modern and Contemporary Art			
Spring 2019	Term	Biostatistics						
Spring 2019	Term	Foundations of Biology II	Foundations of Biology	Natural Sciences LAC				
Spring 2019	Term	Current Issues in Human Genetics	Organismic Lecture	Natural Sciences LAC				
Spring 2019	Term	Introduction to Neuroscience	Natural Sciences LAC	Organismic Lecture				
Spring 2019	Term	Introduction to Oceanography	Ecology Lecture	Natural Sciences LAC				
Spring 2019	Term	Conservation Biology	Ecology Lecture					
Spring 2019	Term	Animal Behavior laboratory	Biology Lab					
Spring 2019	Mod	Classical Genetics Techniques Laboratory	Biology Lab					
Spring 2019	Mod	Fundamentals of Applied Genetics	Organismic Lecture					
Spring 2019	Term	Introduction to Microbiology	Molecular Lecture					
Spring 2019	Term	Introduction to Microbiology Laboratory	Biology Lab					
Spring 2019	Term	Marine Mammal Builogy	Organismic Lecture					
Spring 2019	Term	Biology of Sharks, Skates, and Rays	Organismic Lecture					
Spring 2019	Term	Biology of Sharks, Skates, and Rays Laboratory	Biology Lab					
Spring 2019	Term	Coral Reef Ecology	Ecology Lecture					
Spring 2019	Term	Principles of Bioinformatics	Statistics					
Spring 2019	Mod	Principles of Ecological Management	Ecology Lecture					
Spring 2019	Mod	Topics in Cell Signaling	Molecular Lecture					
Spring 2019	Term	Neuroethology	Organismic Lecture					
Spring 2019	Term	General Chemistry II	General Chem					
Spring 2019	Term	General Chemistry Laboratory	General Chem Lab					
Spring 2019	Term	Organic Chemistry II: Structure and Reaction	Organic Chem					
Spring 2019	Term	Instrumental Methods						
Spring 2019	Term	Nanotechnology in Wastewater Treatment						
Spring 2019	Term	Biochemistry II: Metabolism and Advanced Topics	Biochemistry					
Spring 2019	Term	Biochemistry Laboratory						
Spring 2019	Term	Physical Chemistry: Quantum Mechanics	Physical Chem					
Spring 2019	Term	Physical Chemistry Laboratory						
Spring 2019	Term	Computer Networks	Natural Sciences LAC	Networks				
Spring 2019	Term	Object Oriented Programming	Software Design Course					
Spring 2019	Term	Mobile Application Development	Technical Computer Science Elective					
Spring 2019	Term	Introduction to Programming in C	Into Programming Language					
Spring 2019	Term	Software Engineering	Software Design Course					
Spring 2019	Term	Artificial Intelligence	Technical Computer Science Elective					
Spring 2019	Term	Introduction to Augmented Reality	Technical Computer Science Elective					
Spring 2019	Term	Introductory Microeconomics	Social Sciences LAC					
Spring 2019	Term	Introductory Macroeconomics	Social Sciences LAC					
Spring 2019	Term	Introduction to Behavioral Economics	Economics Course	Social Sciences LAC				
Spring 2019	Term	Introduction to International Business	Diverse Perspectives	Social Sciences LAC	Economics Course			
Spring 2019	Term	Money, Banking, And Financial Markets	Economics Course					
Spring 2019	Term	Corporate Finance	Economics Course					
Spring 2019	Term	Intermediate Macroeconomics	Intermediate Macro or Micro					
Spring 2019	Term	Econometrics	Economics Course					
Spring 2019	Term	Manifestos	Humanities LAC	Criticism or Theory English Course				
Spring 2019	Term	Voices from Outside	Humanities LAC	Cross-Cultural English Course				
Spring 2019	Term	Landscape in Chinese Literature	Diverse Perspectives	Humanities LAC	Chinese Literature and Culture	Cross-Cultural English Course		
Spring 2019	Term	Theater and Society	Diverse Perspectives	Humanities LAC	Historical Engagement English Course			
Spring 2019	Term	Transnational Perspectives in Holocaust Memory	Humanities LAC	Cross-Cultural English Course	Historical Engagement English Course			
Spring 2019	Term	Exploring the Unconscious Mind in Development of the Self: Psychoanalytic Reflections in Film	Textual Analysis					
Spring 2019	Term	Introduction to World Literature	Diverse Perspectives	Cross-Cultural English Course				
Spring 2019	Term	Gothic Tradition	Historical Engagement English Course					
Spring 2019	Term	L'amour Interdit	Cross-Cultural English Course	Humanities LAC				
Spring 2019	Term	Representations of Power in Modern Latin American Narrative	Cross-Cultural English Course					
Spring 2019	Term	The City in American Literature and Film	Historical Engagement English Course					
Spring 2019	Term	Crossing Cultural Borders in American Literature and Film	Cross-Cultural English Course	Diverse Perspectives				
Spring 2019	Term	All About Love	Humanities LAC	Textual Analysis				
Spring 2019	Term	Giving Voice to Identity: Manifestos and Fiction from Quebec and the Francophone Caribbean	Cross-Cultural English Course	Diverse Perspectives				
