Name	Type 	Year	Tags													
Russian	Divisional	2019	Russian Language(6)	Russian Literature(6)												
Anthropology	Divisional	2019	Intro Anthro(1)	Intro Archeology(1)	Upper Level or Thematic Course(1)	History of Anthro Theory (1)	Linguistic or Physical Anthro(1)	Method and Theory In Archeology (1)	Foreign Lanuguage (4)							
Mathematics	Divisional	2019	Calculus(3)	Linear Algebra(2)	Differential Equations(1)	Abstract Algebra(2)	Real Analysis(2)	Complex Analysis(1)	Math Seminar(3)							
Art	Divisional	2019	Foundations Art Course(3)	Intermediate Studio Art Course(3)	Art History Course(2)	Upper Level Studio Art Course(2)	Art ISP(1)									
Art History	Divisional	2019	General Art History(1)	Pre-Modern Art(3)	Modern and Contemporary Art(3)	Modern Art(1)	Contemporary Art(1)	Ancient/Medieval Art(1)	Renaissance/Baroque Art(1)	Ways of Seeing(1)	Indepedent work: ISP, Tutorial, or Internship(2)	Studio Art(1)	Foreign Language(3)			
Biology	Divisional	2019	Foundations of Biology(2)	Mollecular Lecture(1)	Organismic Lecture(1)	Ecology Lecture(1)	Biology Lab(2)	Statistics(1)	General Chem(2)	General Chem Lab(1)	Organic Chem(1)	Organic Chem Lab(1)	Physics(1)	Physics Lab(1)	Intermediate Biology Course(2)	Intermediate Natsci Course(2)
Chemistry	Divisional	2019	General Chem(2)	General Chem Lab(1)	Calculus(3)	Organic Chem(2)	Physics(2)	Physical Chem(2)	Inorganic Chem(1)	Biochemistry(1)	Advanced Chemistry Course(1)	Chemistry ISP(1)				
Chinese Language and Culture	Divisional	2019	Chinese Language(6)	Advanced Chinese Reading(1)	Chinese Literature and Culture(1)	Chinese Special Interest(2)	East Asia Course(2)									
Chinese Language and Culture	Slash	2019	Chinese Language(5)	Chinese Literature and Culture(2)	East Asia Course(1)											
Classics	Divisional	2019	Greek or Latin(9)	Greek and Roman Culture(4)	Foreign Language(2)	Classics Related Course(2)										
Classics	Joint	2019	Greek or Latin(9)	Greek and Roman Culture(4)												
Classics	Slash	2019	Greek or Latin(9)	Greek and Roman Culture(4)												
Computer Science	Divisional	2019	Intro Programming Language(2)	Software Design Course(2)	Algorithms(1)	Databases(1)	Data Mining(1)	Networks(1)	Statistics(1)	Discrete Math(1)	Technical Computer Science Electives(4)	Computer Science Internship(1)				
Computer Science	Slash	2019	Intro Programming Language(2)	Software Design Course(1)	Technical Computer Science Electives(2)											
Economics	Divisional	2019	Microeconomics(2)	Macroeconomics(2)	Economic Mathematics(1)	Statistics(1)										
Economics	Slash	2019	Microeconomics(1)	Macroeconomics(1)	Intermediate Macro or Micro(1)	Economics Course(3)										
English	Divisional	2019	Textual Analysis(2)	Historical Engagement English Course(2)	Cross-Cultural English Course(2)	Criticism or Theory English Course(2)										
LAC	LAC	2019	LAC course(8)	Humanities(1)	Social Sciences(1)	Natural Sciences(1)	Diverse Perspectives(1)	Mathematics(1)								
